"","richness","abundance","hill1","percentile"
"193",91,3691,30.435871770584,0
"194",91,19794,22.7946375507609,0
"195",92,11162,25.241559697437,0
"196",92,19040,23.2021129177218,0
"197",92,19130,23.1729804289434,0
"198",93,8149,26.9395219214178,0
"199",93,12079,25.2264649148969,0
"200",93,14180,24.577904789592,0
"201",93,19632,23.3779425025391,0
"202",94,9503,26.5639804214771,0
"203",95,13203,25.4349028197766,0
"204",95,18211,24.2217258422563,0
"205",96,11486,26.3726178031716,0
"206",96,12510,25.9800678014744,0
"207",96,17237,24.7114253826039,0
"208",96,18927,24.3647400083121,0
"209",97,9863,27.3598911693915,0
"210",98,5623,30.6152367783873,0
"211",98,13513,26.2821503451152,0
"212",98,15152,25.8146032821968,0
"213",98,15521,25.6971139980106,0
"214",99,8719,28.5776388760077,0
"215",100,227,74.0675807201967,1
"216",100,2985,35.5887403692656,0
"217",101,2654,36.8941211942578,0
"218",101,7683,29.9026024500433,0
"219",102,644,53.9053105103472,0.803
"220",102,2231,38.9106976750922,0.003
"221",102,12209,27.9508851249519,0
"222",103,3078,36.6515010011093,0
"223",103,8520,30.07575082142,0
"224",103,11244,28.6395756073734,0
"225",104,1793,41.9784491689339,0.048
"226",104,8309,30.513483971197,0
"227",104,8566,30.3243647394304,0
"228",104,11389,28.8955253949627,0
"229",105,2242,40.1465277624269,0.006
"230",105,9620,30.095045396612,0
"231",106,3787,36.2453694477637,0
"232",106,17980,27.4399037308283,0
"233",107,4660,35.1727405299439,0
"234",107,5545,33.9470244445502,0
"235",107,8288,31.5255840720082,0
"236",107,9882,30.5860293451134,0
"237",107,14917,28.5905918002014,0
"238",108,270,76.9516698086555,1
"239",108,6012,33.8538840704715,0
"240",108,13298,29.404886029496,0
"241",109,268,78.2143035417706,1
"242",109,5750,34.5046617349464,0
"243",109,8522,32.0462230392201,0
"244",110,325,73.9213235742692,0.996
"245",110,14331,29.6597396432747,0
"246",111,17693,28.9635043546317,0
"247",112,1647,46.8461618681596,0.068
"248",112,12287,31.0449582772995,0
"249",112,17978,29.203498777884,0
"250",112,19040,28.9129799708689,0
"251",113,9702,32.6637036180945,0
"252",113,15104,30.3115845490892,0
"253",113,16643,29.8486032335378,0
"254",113,17521,29.5943160719834,0
"255",114,2506,43.3746081163238,0.003
"256",114,5218,37.0876341769633,0
"257",114,8312,33.91518100939,0
"258",114,16062,30.3172810674156,0
"259",115,8424,34.1592439144608,0
"260",116,3649,40.7828369989246,0
"261",117,3509,41.4539172647386,0
"262",117,18079,30.6638324149125,0
"263",118,15771,31.6324849963582,0
"264",119,3049,43.6264505612344,0.004
"265",119,11934,33.4308889362425,0
"266",119,16163,31.8024640017888,0
"267",120,4273,40.9801886662659,0
"268",120,10262,34.632785982257,0
"269",120,11017,34.2424255335302,0
"270",121,6485,38.0500421409659,0
"271",122,8572,36.4952653932821,0
"272",122,14348,33.3540874290814,0
"273",122,14863,33.1750625277559,0
"274",122,15705,32.8701079301834,0
"275",124,4923,41.3939157883363,0
"276",124,6833,38.8317627985484,0
"277",125,7256,38.7247241164349,0
"278",125,10523,36.1882485435555,0
"279",125,13580,34.6238387247391,0
"280",125,16264,33.5836924862208,0
"281",126,688,69.4686081571131,0.953
"282",126,9840,36.9838033543348,0
"283",127,19143,33.3410392862239,0
"284",128,6109,41.1020677614382,0
"285",128,16041,34.6206345033895,0
"286",129,3621,46.2754322880073,0
"287",129,7622,39.777124420473,0
"288",129,7729,39.621919578117,0
"289",129,13423,35.9461784130043,0
"290",129,17763,34.3492453669248,0
"291",130,12496,36.7316540308933,0
"292",130,16693,34.9878921128535,0
"293",131,13661,36.4752981263541,0
"294",131,15569,35.7005547454324,0
"295",131,18465,34.7125625668244,0
"296",131,18821,34.6352203520747,0
"297",132,10258,38.713776511977,0
"298",133,18616,35.3020995030184,0
"299",135,14944,37.1917465279901,0
"300",135,17053,36.3889836458726,0
"301",136,1752,58.7211001039565,0.343
"302",136,2166,55.6749944096497,0.139
"303",136,2514,53.742700382131,0.069
"304",136,19579,35.8875333210785,0
"305",137,9776,40.7482755606856,0
"306",137,13632,38.406173523136,0
"307",138,2871,52.9304889432548,0.026
"308",139,7203,43.9235046802809,0
"309",139,16036,38.0048045439421,0
"310",140,4967,47.6990389829275,0
"311",140,18041,37.5784584559736,0
"312",141,7871,43.9187651268546,0
"313",142,10964,41.5989880886744,0
"314",143,1313,67.4215687953852,0.798
"315",144,4078,51.4612252460894,0.001
"316",144,16329,39.461515285236,0
"317",144,18466,38.6753462902865,0
"318",145,1888,62.3184460632286,0.382
"319",145,2003,61.4311588296308,0.331
"320",145,9418,43.8552069482498,0
"321",146,3935,52.8255126463672,0.002
"322",146,12058,42.2399333658486,0
"323",146,14711,40.8423286454382,0
"324",146,15314,40.5488247201952,0
"325",147,7646,46.3537711796021,0
"326",148,7936,46.4031084597169,0
"327",148,8493,45.8172310934745,0
"328",149,7396,47.3992637180941,0
"329",149,9725,44.9713515962388,0
"330",149,11305,43.8065067106345,0
"331",149,11732,43.4516686334157,0
"332",150,5018,51.6917860889513,0.001
"333",150,9767,45.3209082087279,0
"334",150,10413,44.8259699376032,0
"335",151,14893,42.3589076820628,0
"336",151,16386,41.6504405760793,0
"337",151,16918,41.4167885863579,0
"338",152,11469,44.698282140955,0
"339",154,3753,56.8522743950854,0.003
"340",154,12217,44.8672046316475,0
"341",154,14335,43.5945313016243,0
"342",155,2564,62.6924181702224,0.148
"343",155,4476,55.1837727113082,0.001
"344",155,6730,50.5813684790666,0
"345",155,14006,44.0896031658553,0
"346",156,603,95.9941988598714,0.998
"347",156,7605,49.7823159018977,0
"348",156,7692,49.6517697129397,0
"349",156,11624,45.9182854187512,0
"350",156,14779,44.0123721521156,0
"351",157,5777,52.976426533834,0
"352",157,7056,50.9104860371563,0
"353",158,1042,82.0220993391173,0.942
"354",158,17761,43.283295987396,0
"355",159,5260,54.8312863195052,0
"356",159,6207,52.992893150559,0
"357",159,13516,45.7176985808211,0
"358",160,12579,46.6190509715057,0
"359",161,10298,48.7608520987405,0
"360",162,3765,60.3846207970051,0.004
"361",162,8301,51.1525312457367,0
"362",163,17188,45.1202102402885,0
"363",163,18103,44.7557778983441,0
"364",164,3805,61.1642778285539,0.022
"365",165,381,120.674028440198,0.997
"366",165,5047,57.9155528393036,0.003
"367",165,6257,55.2826132010382,0
"368",165,7191,53.7720240060218,0
"369",165,13529,47.7369112390212,0
"370",166,13336,48.1618810611223,0
"371",166,14770,47.2670073071074,0
"372",166,18154,45.6572209716496,0
"373",167,3929,62.0553957828622,0.025
"374",167,19630,45.3302573185275,0
"375",168,17897,46.3998887642222,0
"376",170,7715,54.8866010668379,0
"377",171,12154,50.6940642308805,0
"378",171,14155,49.3151170380742,0
"379",171,14341,49.1978106341134,0
"380",171,14511,49.0906062330461,0
"381",172,2517,71.7199067785157,0.458
"382",172,6990,56.7249923888923,0
"383",172,14735,49.2797755856752,0
"384",173,14259,49.9601366816538,0
"385",174,8731,55.0287459383868,0
"386",175,12842,51.5798852288407,0
"387",176,6481,59.287872737696,0
"388",176,13165,51.6595962322222,0
"389",176,19805,48.1029120161216,0
"390",177,4232,65.4283560605814,0.022
"391",177,19232,48.6596226278617,0
"392",178,4857,63.9478769467631,0.004
"393",178,6226,60.6359415020899,0
"394",178,17145,49.9658283971391,0
"395",178,17983,49.5526580177731,0
"396",179,7919,58.0944162091626,0
"397",179,17649,49.9887210754164,0
"398",180,4916,64.6510931784366,0.003
"399",180,6389,61.0939979294929,0.001
"400",180,7106,59.7671462537526,0
"401",180,14658,52.0114921950004,0
"402",180,18272,49.9919385733144,0
"403",181,9751,56.4820684852388,0
"404",181,13306,53.3182507251193,0
"405",181,14081,52.7688531654373,0
"406",181,14140,52.7322714296308,0
"407",181,17049,50.9887365799758,0
"408",183,2881,74.7812473837116,0.462
"409",183,2920,74.4046563306518,0.414
"410",183,3915,69.4803645597042,0.075
"411",183,6688,61.6812065098065,0
"412",184,8856,58.6349682937772,0
"413",184,12715,54.7340680964039,0
"414",185,11343,56.2772075559599,0
"415",185,13864,54.2192142549828,0
"416",185,19376,51.1505221270508,0
"417",186,17165,52.5513673061886,0
"418",187,6569,63.5152552384929,0
"419",187,7798,61.416639491603,0
"420",187,12777,55.7347812267094,0
"421",189,2006,85.570451583311,0.846
"422",189,9964,59.193343949603,0
"423",189,13849,55.6033077738959,0
"424",189,15030,54.7957918411111,0
"425",191,18314,53.5912835308101,0
"426",192,4385,71.6555256099033,0.056
"427",192,12259,57.9609652824327,0
"428",192,18673,53.7012783836725,0
"429",193,7985,63.3751529120801,0
"430",193,17061,54.9279174798172,0
"431",194,2560,82.8418379081877,0.784
"432",194,7026,65.5179241674433,0.001
"433",194,12793,58.1837066724132,0
"434",196,10316,61.372004000713,0
"435",196,12312,59.3332342587621,0
"436",197,3982,75.6595722456309,0.132
"437",197,7744,65.2910587519826,0
"438",198,3541,78.246744561288,0.241
"439",200,11334,61.709790276943,0
